sample,Clinical,RNAseq,Proteomics
Training_1,1,1,1
Training_2,2,41,41
Training_3,3,3,3
Training_4,4,4,4
Training_5,5,35,5
Training_6,6,6,6
Training_7,7,7,7
Training_8,8,8,8
Training_9,9,78,9
Training_10,10,9,10
Training_11,11,11,11
Training_12,12,12,12
Training_13,13,13,13
Training_14,14,14,14
Training_15,15,15,15
Training_16,16,48,48
Training_17,17,17,17
Training_18,18,18,18
Training_19,19,19,19
Training_20,20,20,20
Training_21,21,21,21
Training_22,22,80,80
Training_23,23,23,27
Training_24,24,24,24
Training_25,25,25,25
Training_26,26,26,26
Training_27,27,27,23
Training_28,28,28,28
Training_29,29,29,29
Training_30,30,30,30
Training_31,31,31,31
Training_32,32,32,32
Training_33,33,36,36
Training_34,34,34,34
Training_35,35,5,35
Training_36,36,33,33
Training_37,37,37,37
Training_38,38,38,38
Training_39,39,39,39
Training_40,40,40,40
Training_41,41,2,2
Training_42,42,42,42
Training_43,43,43,43
Training_44,44,44,44
Training_45,45,45,45
Training_46,46,47,46
Training_47,47,46,47
Training_48,48,16,16
Training_49,49,49,49
Training_50,50,72,72
Training_51,51,51,51
Training_52,52,52,52
Training_53,53,53,53
Training_54,54,54,54
Training_55,55,55,55
Training_56,56,56,56
Training_57,57,57,57
Training_58,58,58,77
Training_59,59,59,59
Training_60,60,63,60
Training_61,61,61,61
Training_62,62,62,62
Training_63,63,60,63
Training_64,64,64,64
Training_65,65,65,65
Training_66,66,66,66
Training_67,67,67,67
Training_68,68,68,68
Training_69,69,69,69
Training_70,70,70,70
Training_71,71,71,71
Training_72,72,50,50
Training_73,73,73,73
Training_74,74,74,74
Training_75,75,75,75
Training_76,76,76,76
Training_77,77,77,58
Training_78,78,10,78
Training_79,79,79,79
Training_80,80,22,22
